Try the new events page,,,,,
,Frame Launch Hackathon,3 August,3 August,"San Francisco, CA",https://lu.ma/q4slo4g7
July,AI Wearables Hackathon,27 July,28 July,"San Francisco, CA",https://partiful.com/e/AzVSvX4VB2cwWs52I0FW
,GPT-4o Voice Hackathon hosted by Catalyst Society & Design Buddies,27 July,28 July,"San Francisco, CA",https://lu.ma/gpt4o
,SupaHero AI Hackathon,26 July,28 July,"San Francisco, CA",https://lu.ma/3sjrxbfn
,Multi-Agent Hackathon,13 July,13 July,"San Francisco, CA",https://agihouse-app.web.app/events/multi-agent-hackathon
,Society of Agents Hackathon,13 July,13 July,"Menlo Park, CA",https://lu.ma/0m9qby4j
,Hardcore CUDA Hackathon,13 July,13 July,"San Francisco, CA",https://partiful.com/e/fxMwOW9dtCCWoEPyyTIf
,Hacker House Hackathon - Berkeley,12 July,14 July,"Berkeley, CA",https://partiful.com/e/qqx0mqPHDA224OTOM1uU
June,"GPU Chess Hackathon: Grandmasters aren’t born, they’re trained",29 June,30 June,"San Francisco, CA",https://lu.ma/blw9mmad
,Generative AI Hackathon - AI Agent and RAG,29 June,29 June,"San Francisco, CA",https://www.aicamp.ai/event/eventdetails/W2024062909
,Hacking for Clean Energy,28 June,29 June,"San Francisco, CA",https://lu.ma/eoi69aaw
,Voice AI Agents Hackathon,28 June,28 June,"San Francisco, CA",https://lu.ma/crui7cfu
,"GenLab x AI Engineer World's Fair Hackathon: Amplifying Humans - Engineering & Agency; $10,000 Cash Prizes",24 June,24 June,"San Francisco, CA",https://lu.ma/genlabxaiengineer?utm_source=se-cerebralvalley
,UC Berkeley AI Hackathon,22 June,23 June,"Berkley, CA",https://ai.hackberkeley.org/
,AI21 Jamba Hackathon,22 June,22 June,"San Francisco, CA",https://agihouse-app.web.app/events/ai21-jamba-hackathon
,"MongoDB GenAI Hackathon with AWS, sponsored by Unstructured.io",14 June,14 June,"Mountain View, CA",https://lu.ma/MongoDB-GenAI-Mountain-View
,dAGI House hackathon,11 June,2 July,Remote,https://lu.ma/dagihouse
,Build Together: AI Hackathon,7 June,9 June,"San Francisco, CA",https://lu.ma/qp0t420z
,HACKAITHON: Building AI Agents,4 June,5 June,"San Francisco, CA",https://www.hackaithon.ai/
,Gen AI Hackathon for Building RAG Applications and Fine-tuning,1 June,2 June,"San Francisco, CA",https://www.aicamp.ai/event/eventdetails/W2024060109
May,Developer Week AI/ML Hackathon,22 May,22 May,"San Francisco, CA",https://www.eventbrite.com/e/developerweek-aiml-2024-hackathon-sponsored-by-aws-registration-851153983477
,Useful AI Agents Hackathon,18 May,18 May,"San Francisco, CA",https://lu.ma/usefulagents
,Meta Llama 3 Hackathon,11 May,12 May,"San Francisco, CA",https://partiful.com/e/p5bNF0WkDd1n7JYs3m0A
,"Build with AI 2024 (Vancouver, London, & Virtual Hackathon)",10 May,12 May,Remote,https://lu.ma/build24
,National Security Hackathon,4 May,5 May,"San Francisco, CA",https://partiful.com/e/KFHCM5eIdT2U8TiTNDPm
